jd,UTC,jd_norm
2706713.395188777,2022-07-26T09:33:13.102,2872.211827190593
2706713.645365892,2022-07-26T15:33:27.034,2872.462004305795
2706713.719433333,2022-07-26T17:20:06.054,2872.53607174661
2706713.8955457467,2022-07-26T21:33:41.197,2872.712184160482
2706713.9696140555,2022-07-26T23:20:20.291,2872.78625246929
2706714.219797896,2022-07-27T05:20:34.790,2873.036436310038
2706756.364391223,2022-09-07T08:43:52.193,2915.1810296368785
2706756.438461225,2022-09-07T10:30:31.257,2915.255099638831
2706790.8495132793,2022-10-11T20:18:04.120,2949.666151693091
2706790.9235817296,2022-10-11T22:04:43.122,2949.7402201434597
2706807.6799891884,2022-10-28T16:12:11.880,2966.4966276022606
2706807.8561001257,2022-10-28T20:25:46.894,2966.6727385395207
2706807.93016819,2022-10-28T22:12:25.968,2966.7468066038564
2706967.8306898954,2023-04-06T19:58:11.992,3126.647328309249
2706983.08337198,2023-04-22T02:03:44.207,3141.9000103939325
2706983.1574294474,2023-04-22T03:50:23.214,3141.9740678612143
2707081.4318963527,2023-07-29T10:25:49.788,3240.2485347664915
2707081.5059642224,2023-07-29T12:12:28.827,3240.322602636181
2707095.9376488025,2023-08-12T22:32:34.948,3254.7542872163467
2707096.0117184455,2023-08-13T00:19:14.056,3254.828356859274
2707132.413771257,2023-09-18T09:53:34.507,3291.230409670621
2707132.48784118,2023-09-18T11:40:13.567,3291.3044795938767
2707258.9248011746,2024-01-22T22:04:37.245,3417.741439588368
2707258.9988607825,2024-01-22T23:51:16.401,3417.8154991962947
2707259.24900964,2024-01-23T05:51:30.637,3418.0656480537727
2707274.0035020243,2024-02-06T23:59:30.362,3432.8201404381543
2707274.1795884315,2024-02-07T04:13:05.431,3432.996226845309
2707274.2536463114,2024-02-07T05:59:44.539,3433.070284725167
2707308.730947612,2024-03-12T17:31:27.560,3467.54758602567
2707348.6194605716,2024-04-21T14:55:44.295,3507.436098985374
2707348.6935189525,2024-04-21T16:42:23.379,3507.5101573662832
2707348.8696071715,2024-04-21T20:55:58.445,3507.686245585326
2707355.873051092,2024-04-28T21:01:35.137,3514.6896895058453
2707355.947109077,2024-04-28T22:48:14.135,3514.7637474909425
2707356.12319954,2024-04-29T03:01:49.271,3514.939837954007
2707356.197258833,2024-04-29T04:48:28.380,3515.013897246681
2707455.7997849537,2024-08-06T19:14:39.949,3614.6164233675227
2707455.9758992908,2024-08-06T23:28:15.084,3614.792537704576
2707476.2284281095,2024-08-27T05:29:29.197,3635.0450665233657
2707508.4634509236,2024-09-28T11:03:43.974,3667.2800893373787
2707508.5375207555,2024-09-28T12:50:23.046,3667.3541591693647
2707632.971228864,2025-01-30T23:12:20.812,3791.7878672778606
2707633.045286651,2025-01-31T00:58:59.872,3791.861925064586
2707654.7941404427,2025-02-21T18:59:55.195,3813.610778856557
2707654.9702258767,2025-02-21T23:13:30.333,3813.7868642904796
2707684.453785232,2025-03-23T10:53:43.368,3843.2704236456193
2707684.5278418656,2025-03-23T12:40:22.438,3843.3444802793674
